title,genres,director,overview,text_stopword,text_clean
Beastmaster 2: Through the Portal of Time,"['Action', 'Adventure', 'Fantasy']",Sylvio Tabet,"Mark Singer returns as Dar, the warrior who can talk to the beasts. Dar is forced to travel to earth to stop his evil brother from stealing an atomic bomb, and turning their native land from a desert into... well... a desert! Written by Jim Palin","['mark', 'singer', 'return', 'dar', 'warrior', 'talk', 'beast', 'dar', 'force', 'travel', 'earth', 'stop', 'evil', 'brother', 'steal', 'atomic', 'bomb', 'turn', 'native', 'land', 'desert', 'well', 'desert', 'write', 'jim', 'palin']",mark singer return dar warrior talk beast dar force travel earth stop evil brother steal atomic bomb turn native land desert well desert write jim palin
The 5th Quarter,['Drama'],Rick Bieber,"In the wake of a car crash that killed his brother, football player Jon Abbate leads his school's struggling team to its most successful season ever.","['wake', 'car', 'crash', 'kill', 'brother', 'football', 'player', 'jon', 'abbate', 'lead', 'school', 'struggle', 'team', 'successful', 'season', 'ever']",wake car crash kill brother football player jon abbate lead school struggle team successful season ever
The Flower of Evil,['Drama'],Claude Chabrol,"Three generations of a wealthy Bordeaux family are caught in the crossfire when Anne decides to run for mayor, thanks to a political pamphlet that revives an old murder scandal.","['three', 'generation', 'wealthy', 'bordeaux', 'family', 'catch', 'crossfire', 'anne', 'decide', 'run', 'mayor', 'thanks', 'political', 'pamphlet', 'revive', 'old', 'murder', 'scandal']",three generation wealthy bordeaux family catch crossfire anne decide run mayor thanks political pamphlet revive old murder scandal
The Greatest,['Drama'],Shana Feste,"Teenagers Rose and Bennett were in love, and then a car crash claimed Bennett's life. He left behind a grieving mother, father and younger brother, and Rose was left all alone. She has no family to turn to for support, so when she finds out she's pregnant, she winds up at the Brewer's door. She needs their help, and although they can't quite admit it, they each need her so they can begin to heal.","['teenager', 'rise', 'bennett', 'love', 'car', 'crash', 'claim', 'bennetts', 'life', 'leave', 'behind', 'grieve', 'mother', 'father', 'young', 'brother', 'rise', 'leave', 'alone', 'family', 'turn', 'support', 'find', 'shes', 'pregnant', 'wind', 'brewer', 'door', 'need', 'help', 'although', 'cant', 'quite', 'admit', 'need', 'begin', 'heal']",teenager rise bennett love car crash claim bennetts life leave behind grieve mother father young brother rise leave alone family turn support find shes pregnant wind brewer door need help although cant quite admit need begin heal
Snow Flower and the Secret Fan,"['Drama', 'History']",Wayne Wang,A story set in 19th century China and centered on the lifelong friendship between two girls who develop their own secret code as a way to contend with the rigid cultural norms imposed on women.,"['story', 'set', '19th', 'century', 'china', 'center', 'lifelong', 'friendship', 'two', 'girl', 'develop', 'secret', 'code', 'way', 'contend', 'rigid', 'cultural', 'norm', 'impose', 'woman']",story set 19th century china center lifelong friendship two girl develop secret code way contend rigid cultural norm impose woman
Come Early Morning,"['Drama', 'Romance']",Joey Lauren Adams,"Lucy wakes up in bed with a stranger and obviously from a night of drinking. She checks out and pays for the motel room on her account. Through her grandmother, she finds out her father is in town and pays him a visit. She agrees to go to his new church.","['lucy', 'wake', 'bed', 'stranger', 'obviously', 'night', 'drinking', 'check', 'pay', 'motel', 'room', 'account', 'grandmother', 'find', 'father', 'town', 'pay', 'visit', 'agree', 'go', 'new', 'church']",lucy wake bed stranger obviously night drinking check pay motel room account grandmother find father town pay visit agree new church
Lucky Break,"['Action', 'Comedy']",Peter Cattaneo,"Half-way through his 12-year prison sentence for an incompetent armed robbery, Jimmy Hands gets a lucky break: he's transferred to a prison from which he can probably escape. He convinces the governor to stage a musical in an old chapel next to the prison's outer wall. He rounds up volunteer actors and puts his escape plan into production. Two other barriers, besides the wall, confront him: the arrival of a nasty inmate, John Toombes, who insists on joining the escape, and Jimmy's feelings of attraction for Anabel, a social worker who agrees to appear in the play. Opening night approaches: is this Jimmy's breakout performance?","['halfway', '12year', 'prison', 'sentence', 'incompetent', 'arm', 'robbery', 'jimmy', 'hand', 'get', 'lucky', 'break', 'transfer', 'prison', 'probably', 'escape', 'convince', 'governor', 'stage', 'musical', 'old', 'chapel', 'next', 'prison', 'outer', 'wall', 'round', 'volunteer', 'actor', 'put', 'escape', 'plan', 'production', 'two', 'barrier', 'besides', 'wall', 'confront', 'arrival', 'nasty', 'inmate', 'john', 'toombes', 'insist', 'join', 'escape', 'jimmys', 'feeling', 'attraction', 'anabel', 'social', 'worker', 'agree', 'appear', 'play', 'open', 'night', 'approach', 'jimmy', 'breakout', 'performance']",halfway 12year prison sentence incompetent arm robbery jimmy hand get lucky break transfer prison probably escape convince governor stage musical old chapel next prison outer wall round volunteer actor put escape plan production two barrier besides wall confront arrival nasty inmate john toombes insist join escape jimmys feeling attraction anabel social worker agree appear play open night approach jimmy breakout performance
Julia,['Drama'],Fred Zinnemann,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.","['behest', 'old', 'dear', 'friend', 'playwright', 'lillian', 'hellman', 'undertake', 'dangerous', 'mission', 'smuggle', 'fund', 'nazi', 'germany']",behest old dear friend playwright lillian hellman undertake dangerous mission smuggle fund nazi germany
"Surfer, Dude",['Comedy'],S.R. Bindler,A wave twisting tale of a soul searching surfer experiencing an existential crisis.,"['wave', 'twist', 'tale', 'soul', 'search', 'surfer', 'experience', 'existential', 'crisis']",wave twist tale soul search surfer experience existential crisis
Lake of Fire,['Documentary'],Tony Kaye,An unflinching look at the how the battle over abortion rights has played out in the United States over the last 15 years,"['unflinching', 'look', 'battle', 'abortion', 'right', 'play', 'united', 'state', 'last', '15', 'year']",unflinching look battle abortion right play united state last year
11:14,"['Crime', 'Drama', 'Thriller']",Greg Marcks,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,"['tell', 'seemingly', 'random', 'yet', 'vitally', 'connected', 'story', 'set', 'incident', 'converge', 'one', 'evening', '1114pm', 'story', 'follow', 'chain', 'event', 'five', 'different', 'character', 'five', 'different', 'storyline', 'converge', 'tell', 'story', 'murder', 'deceit']",tell seemingly random yet vitally connected story set incident converge one evening 1114pm story follow chain event five different character five different storyline converge tell story murder deceit
Men of War,"['Action', 'Thriller']",Perry Lang,"Nick Gunar is a burnt-out, jaded and hard-up former mercenary who is having a difficult time adjusting to civilian life. At the end of his rope, he is hired by the Nitro Mine Corporation to strong-arm the natives of a South China Sea island into giving up their rights to its valuable mineral resources. Nick loathes the thought of another mission, but this seemingly easy job will earn him enough money to get back with his estranged family. He recruits some of his former mercenary buddies to help him with the job. The island people refuse to give up their land and Nick decides to help them fight the greedy corporation that hired him. As greed and treachery begin to unravel, Nick's band of mercenaries choose sides.","['nick', 'gunar', 'burntout', 'jade', 'hardup', 'former', 'mercenary', 'difficult', 'time', 'adjust', 'civilian', 'life', 'end', 'rope', 'hire', 'nitro', 'mine', 'corporation', 'strongarm', 'native', 'south', 'china', 'sea', 'island', 'give', 'right', 'valuable', 'mineral', 'resource', 'nick', 'loathe', 'thought', 'another', 'mission', 'seemingly', 'easy', 'job', 'earn', 'enough', 'money', 'get', 'back', 'estranged', 'family', 'recruit', 'former', 'mercenary', 'buddy', 'help', 'job', 'island', 'people', 'refuse', 'give', 'land', 'nick', 'decides', 'help', 'fight', 'greedy', 'corporation', 'hire', 'greed', 'treachery', 'begin', 'unravel', 'nick', 'band', 'mercenary', 'choose', 'side']",nick gunar burntout jade hardup former mercenary difficult time adjust civilian life end rope hire nitro mine corporation strongarm native south china sea island give right valuable mineral resource nick loathe thought another mission seemingly easy job earn enough money get back estranged family recruit former mercenary buddy help job island people refuse give land nick decides help fight greedy corporation hire greed treachery begin unravel nick band mercenary choose side
Don McKay,"['Crime', 'Mystery', 'Thriller']",Jake Goldberger,Everything appears off-kilter when a man returns to his hometown after 25 years to visit his former lover.,"['everything', 'appear', 'offkilter', 'man', 'return', 'hometown', '25', 'year', 'visit', 'former', 'lover']",everything appear offkilter man return hometown year visit former lover
Deadfall,"['Crime', 'Drama', 'Thriller']",Stefan Ruzowitzky,"A thriller that follows two siblings who decide to fend for themselves in the wake of a botched casino heist, and their unlikely reunion during another family's Thanksgiving celebration.","['thriller', 'follow', 'two', 'sibling', 'decide', 'fend', 'wake', 'botch', 'casino', 'heist', 'unlikely', 'reunion', 'another', 'family', 'thanksgiving', 'celebration']",thriller follow two sibling decide fend wake botch casino heist unlikely reunion another family thanksgiving celebration
A Shine of Rainbows,"['Drama', 'Family']",Vic Sarin,"An orphaned boy named Tomás is adopted by Maire O’Donnell to live on a whimsical Irish isle filled with new friends, secret caves and a lost baby pup seal stranded on the coast. But when Maire's reluctant husband Alec refuses to accept Tomás as his own son, the boy drifts down a fateful path of adventure and self-discovery, illuminating how rainbows can shine around - and within - us all.","['orphan', 'boy', 'name', 'tomás', 'adopt', 'maire', 'donnell', 'live', 'whimsical', 'irish', 'isle', 'fill', 'new', 'friend', 'secret', 'cave', 'lose', 'baby', 'pup', 'seal', 'strand', 'coast', 'maires', 'reluctant', 'husband', 'alec', 'refuse', 'accept', 'tomás', 'son', 'boy', 'drift', 'fateful', 'path', 'adventure', 'selfdiscovery', 'illuminate', 'rainbow', 'shine', 'around', 'within', 'us']",orphan boy name tomás adopt maire donnell live whimsical irish isle fill new friend secret cave lose baby pup seal strand coast maires reluctant husband alec refuse accept tomás son boy drift fateful path adventure selfdiscovery illuminate rainbow shine around within
The Hit List,"['Action', 'Thriller']",William Kaufman,A disgruntled man creates a hit list with a stranger during a drunken night out and must then race to try to save those he marked for extermination as the bodies begin to pile up and all fingers point to him.,"['disgruntled', 'man', 'create', 'hit', 'list', 'stranger', 'drunken', 'night', 'must', 'race', 'try', 'save', 'mark', 'extermination', 'body', 'begin', 'pile', 'finger', 'point']",disgruntled man create hit list stranger drunken night must race try save mark extermination body begin pile finger point
Emma,"['Romance', 'Comedy', 'Drama']",Jim O'Hanlon,"Emma Woodhouse seems to be perfectly content, a loving father whom she cares for, friends, and a home. But Emma has a terrible habit - matchmaking. She cannot resist finding suitors for her friends, most of all Harriet Smith. Emma is desperate for Harriet to find happiness, but every suitor she finds for her friend ends up attracted to Emma herself. But is Emma so focused on Harriet's happiness that she is not considering her own happiness in love?","['emma', 'woodhouse', 'seem', 'perfectly', 'content', 'loving', 'father', 'care', 'friend', 'home', 'emma', 'terrible', 'habit', 'matchmaking', 'resist', 'find', 'suitor', 'friend', 'harriet', 'smith', 'emma', 'desperate', 'harriet', 'find', 'happiness', 'every', 'suitor', 'find', 'friend', 'end', 'attracted', 'emma', 'emma', 'focused', 'harriets', 'happiness', 'consider', 'happiness', 'love']",emma woodhouse seem perfectly content loving father care friend home emma terrible habit matchmaking resist find suitor friend harriet smith emma desperate harriet find happiness every suitor find friend end attracted emma emma focused harriets happiness consider happiness love
Videodrome,"['Horror', 'Mystery', 'Science Fiction']",David Cronenberg,A sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a very unusual fashion when he acquires a new kind of programming for his station.,"['sleazy', 'cabletv', 'programmer', 'begin', 'see', 'life', 'future', 'medium', 'spin', 'control', 'unusual', 'fashion', 'acquire', 'new', 'kind', 'program', 'station']",sleazy cabletv programmer begin see life future medium spin control unusual fashion acquire new kind program station
The Spanish Apartment,"['Drama', 'Comedy', 'Romance']",Cédric Klapisch,"A strait-laced French student moves into an apartment in Barcelona with a cast of six other characters from all over Europe. Together, they speak the international language of love and friendship.","['straitlaced', 'french', 'student', 'move', 'apartment', 'barcelona', 'cast', 'six', 'character', 'europe', 'together', 'speak', 'international', 'language', 'love', 'friendship']",straitlaced french student move apartment barcelona cast six character europe together speak international language love friendship
Song One,['Drama'],Kate Barker-Froyland,"Estranged from her family, Franny returns home when an accident leaves her brother comatose. Retracing his life as an aspiring musician, she tracks down his favorite musician, James Forester. Against the backdrop of Brooklyn’s music scene, Franny and James develop an unexpected relationship and face the realities of their lives.","['estrange', 'family', 'franny', 'return', 'home', 'accident', 'leave', 'brother', 'comatose', 'retrace', 'life', 'aspiring', 'musician', 'track', 'favorite', 'musician', 'james', 'fore', 'backdrop', 'brooklyn', 'music', 'scene', 'franny', 'james', 'develop', 'unexpected', 'relationship', 'face', 'reality', 'life']",estrange family franny return home accident leave brother comatose retrace life aspiring musician track favorite musician james fore backdrop brooklyn music scene franny james develop unexpected relationship face reality life
Winter in Wartime,"['Drama', 'History', 'War']",Martin Koolhoven,"During World War II in the freezing Netherlands winter of 1944/1945 the western Netherlands are in the grip of a famine.  Many people move east to provide for their families. Fourteen year old Michiel can't wait to join the Dutch resistance, to the dismay of his father, who, as mayor, works to prevent escalations in the village.","['world', 'war', 'ii', 'freezing', 'netherlands', 'winter', '19441945', 'western', 'netherlands', 'grip', 'famine', 'many', 'people', 'move', 'east', 'provide', 'family', 'fourteen', 'year', 'old', 'michiel', 'cant', 'wait', 'join', 'dutch', 'resistance', 'dismay', 'father', 'mayor', 'work', 'prevent', 'escalation', 'village']",world war freezing netherlands winter 19441945 western netherlands grip famine many people move east provide family fourteen year old michiel cant wait join dutch resistance dismay father mayor work prevent escalation village
Freaky Deaky,['Comedy'],Charles Matthau,"Set in 1974, a pair of '60s radicals rely on their bomb-making skills on their way to becoming capitalists.","['set', '1974', 'pair', '60s', 'radical', 'rely', 'bombmaking', 'skill', 'way', 'become', 'capitalist']",set 1974 pair 60s radical rely bombmaking skill way become capitalist
The Train,"['Action', 'Drama', 'Thriller']",John Frankenheimer,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of France's greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory.","['allied', 'force', 'approach', 'paris', 'august', '1944', 'german', 'colonel', 'von', 'waldheim', 'desperate', 'take', 'france', 'great', 'painting', 'germany', 'manage', 'secure', 'train', 'transport', 'valuable', 'art', 'work', 'even', 'chaos', 'retreat', 'descends', 'upon', 'french', 'resistance', 'however', 'want', 'stop', 'steal', 'national', 'treasure', 'receive', 'order', 'london', 'destroy', 'station', 'master', 'labiche', 'task', 'schedule', 'train', 'make', 'happen', 'smoothly', 'also', 'part', 'dwindle', 'group', 'resistance', 'fighter', 'task', 'prevent', 'theft', 'others', 'stage', 'elaborate', 'ruse', 'keep', 'train', 'ever', 'leave', 'french', 'territory']",allied force approach paris august 1944 german colonel von waldheim desperate take france great painting germany manage secure train transport valuable art work even chaos retreat descends upon french resistance however want stop steal national treasure receive order london destroy station master labiche task schedule train make happen smoothly also part dwindle group resistance fighter task prevent theft others stage elaborate ruse keep train ever leave french territory
Trade Of Innocents,"['Drama', 'Thriller']",Christopher Bessette,"In the back streets of a tourist town in present-day Southeast Asia, we find a filthy cinder block room; a bed with soiled sheets; a little girl waits for the next man. Alex (Dermot Mulroney), a human trafficking investigator, plays the role of her next customer as he negotiates with the pimp for the use of the child. Claire (Mira Sorvino), Alex's wife, is caught up in the flow of her new life in Southeast Asia and her role as a volunteer in an aftercare shelter for rescued girls where lives of local neighborhood girl's freedoms and dignity are threatened. Parallel story lines intertwine and unfold twists against the backdrop of the dangerous human trafficking world, in a story of struggle, life, hope and redemption in the ""TRADE of INNOCENTS.""","['back', 'street', 'tourist', 'town', 'presentday', 'southeast', 'asia', 'find', 'filthy', 'cinder', 'block', 'room', 'bed', 'soiled', 'sheet', 'little', 'girl', 'wait', 'next', 'man', 'alex', 'dermot', 'mulroney', 'human', 'trafficking', 'investigator', 'play', 'role', 'next', 'customer', 'negotiate', 'pimp', 'use', 'child', 'claire', 'mira', 'sorvino', 'alexs', 'wife', 'catch', 'flow', 'new', 'life', 'southeast', 'asia', 'role', 'volunteer', 'aftercare', 'shelter', 'rescue', 'girl', 'life', 'local', 'neighborhood', 'girl', 'freedom', 'dignity', 'threaten', 'parallel', 'story', 'line', 'intertwine', 'unfold', 'twist', 'backdrop', 'dangerous', 'human', 'traffic', 'world', 'story', 'struggle', 'life', 'hope', 'redemption', 'trade', 'innocent']",back street tourist town presentday southeast asia find filthy cinder block room bed soiled sheet little girl wait next man alex dermot mulroney human trafficking investigator play role next customer negotiate pimp use child claire mira sorvino alexs wife catch flow new life southeast asia role volunteer aftercare shelter rescue girl life local neighborhood girl freedom dignity threaten parallel story line intertwine unfold twist backdrop dangerous human traffic world story struggle life hope redemption trade innocent
The Protector,"['Action', 'Crime', 'Drama']",Prachya Pinkaew,"In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the animals were sent to Sidney. He travels to Australia, where he locates the baby elephant in a restaurant owned by the evil Madame Rose, the leader of an international Thai mafia. With the support of the efficient Thai sergeant Mark, who was involved in a conspiracy, Kham fights to rescue the animal from the mobsters.","['bangkok', 'young', 'kham', 'raise', 'father', 'jungle', 'elephant', 'member', 'family', 'old', 'elephant', 'baby', 'kern', 'steal', 'criminal', 'kham', 'find', 'animal', 'send', 'sidney', 'travel', 'australia', 'locate', 'baby', 'elephant', 'restaurant', 'evil', 'madame', 'rise', 'leader', 'international', 'thai', 'mafia', 'support', 'efficient', 'thai', 'sergeant', 'mark', 'involve', 'conspiracy', 'kham', 'fight', 'rescue', 'animal', 'mobster']",bangkok young kham raise father jungle elephant member family old elephant baby kern steal criminal kham find animal send sidney travel australia locate baby elephant restaurant evil madame rise leader international thai mafia support efficient thai sergeant mark involve conspiracy kham fight rescue animal mobster
Stiff Upper Lips,['Comedy'],Gary Sinyor,"Stiff Upper Lips is a broad parody of British period films, especially the lavish Merchant-Ivory productions of the 'eighties and early 'nineties. Although it specifically targets A Room with a View, Chariots of Fire, Maurice, A Passage to India, and many other films, in a more general way Stiff Upper Lips satirises popular perceptions of certain Edwardian traits: propriety, sexual repression, xenophobia, and class snobbery.","['stiff', 'upper', 'lip', 'broad', 'parody', 'british', 'period', 'film', 'especially', 'lavish', 'merchantivory', 'production', 'eighty', 'early', 'ninety', 'although', 'specifically', 'target', 'room', 'view', 'chariot', 'fire', 'maurice', 'passage', 'india', 'many', 'film', 'general', 'way', 'stiff', 'upper', 'lip', 'satirise', 'popular', 'perception', 'certain', 'edwardian', 'trait', 'propriety', 'sexual', 'repression', 'xenophobia', 'class', 'snobbery']",stiff upper lip broad parody british period film especially lavish merchantivory production eighty early ninety although specifically target room view chariot fire maurice passage india many film general way stiff upper lip satirise popular perception certain edwardian trait propriety sexual repression xenophobia class snobbery
Bend It Like Beckham,"['Comedy', 'Drama', 'Romance']",Gurinder Chadha,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.","['jess', 'bhamra', 'daughter', 'strict', 'indian', 'couple', 'london', 'permit', 'play', 'organize', 'soccer', 'even', 'though', '18', 'jess', 'play', 'fun', 'one', 'day', 'impressive', 'skill', 'see', 'jules', 'paxton', 'convince', 'jess', 'play', 'semipro', 'team', 'jess', 'use', 'elaborate', 'excuse', 'hide', 'match', 'family', 'also', 'deal', 'romantic', 'feeling', 'coach', 'joe']",jess bhamra daughter strict indian couple london permit play organize soccer even though jess play fun one day impressive skill see jules paxton convince jess play semipro team jess use elaborate excuse hide match family also deal romantic feeling coach joe
Sunshine State,['Drama'],John Sayles,"A woman and her new husband returns to her hometown roots in coastal northern Florida, and must deal with family, business, and encroaching real estate development.","['woman', 'new', 'husband', 'return', 'hometown', 'root', 'coastal', 'northern', 'florida', 'must', 'deal', 'family', 'business', 'encroach', 'real', 'estate', 'development']",woman new husband return hometown root coastal northern florida must deal family business encroach real estate development
Crossover,"['Action', 'Adventure', 'Drama']",Preston A. Whitmore II,"The clock strikes midnight, money changes hands, the crowd is on their feet, and the court is alive with fast-paced razzle-dazzle basketball. These players don't play for a school or a pro team. They play for the street and it's underground...way underground.","['clock', 'strike', 'midnight', 'money', 'change', 'hand', 'crowd', 'foot', 'court', 'alive', 'fastpaced', 'razzledazzle', 'basketball', 'player', 'dont', 'play', 'school', 'pro', 'team', 'play', 'street', 'undergroundway', 'underground']",clock strike midnight money change hand crowd foot court alive fastpaced razzledazzle basketball player dont play school pro team play street undergroundway underground
Khiladi 786,"['Action', 'Comedy']",Ashish R. Mohan,The 8th installment in the Khiladi series.,"['8th', 'installment', 'khiladi', 'series']",8th installment khiladi series
[REC]²,"['Thriller', 'Horror']",Jaume Balagueró,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.","['action', 'continue', 'rec', 'medical', 'officer', 'swat', 'team', 'outfit', 'video', 'camera', 'send', 'seal', 'apartment', 'control', 'situation']",action continue rec medical officer swat team outfit video camera send seal apartment control situation
Standing Ovation,"['Comedy', 'Music', 'Family']",Stewart Raffill,A group of young girls is competing in a nation teen music video competition.,"['group', 'young', 'girl', 'compete', 'nation', 'teen', 'music', 'video', 'competition']",group young girl compete nation teen music video competition
The Sting,"['Comedy', 'Crime', 'Drama']",George Roy Hill,Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,"['set', '1930s', 'intricate', 'caper', 'deal', 'ambitious', 'smalltime', 'crook', 'veteran', 'con', 'man', 'seek', 'revenge', 'vicious', 'crime', 'lord', 'murder', 'one', 'gang']",set 1930s intricate caper deal ambitious smalltime crook veteran con man seek revenge vicious crime lord murder one gang
Chariots of Fire,"['Drama', 'History']",Hugh Hudson,The true story of British athletes preparing for and competing in the 1924 Summer Olympics.,"['true', 'story', 'british', 'athlete', 'prepare', 'compete', '1924', 'summer', 'olympics']",true story british athlete prepare compete 1924 summer olympics
Diary of a Mad Black Woman,"['Comedy', 'Drama', 'Romance']",Darren Grant,"Charles McCarter and his wife Helen are about to celebrate their 18th-wedding anniversary when Helen comes home to find her clothes packed up in a U-Haul van parked in the driveway. Charles is divorcing Her. Helen moves in with her grandmother Madea, an old woman who doesn't take any lip from anyone. Madea helps Helen through these tough times by showing her what is really important in life.","['charles', 'mccarter', 'wife', 'helen', 'celebrate', '18thwedding', 'anniversary', 'helen', 'come', 'home', 'find', 'clothes', 'pack', 'uhaul', 'van', 'park', 'driveway', 'charles', 'divorce', 'helen', 'move', 'grandmother', 'madea', 'old', 'woman', 'doesnt', 'take', 'lip', 'anyone', 'madea', 'help', 'helen', 'tough', 'time', 'show', 'really', 'important', 'life']",charles mccarter wife helen celebrate 18thwedding anniversary helen come home find clothes pack uhaul van park driveway charles divorce helen move grandmother madea old woman doesnt take lip anyone madea help helen tough time show really important life
Shine,['Drama'],Scott Hicks,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.","['pianist', 'david', 'helfgott', 'drive', 'father', 'teacher', 'breakdown', 'year', 'late', 'return', 'piano', 'popular', 'critical', 'acclaim']",pianist david helfgott drive father teacher breakdown year late return piano popular critical acclaim
Don Jon,"['Romance', 'Comedy', 'Drama']",Joseph Gordon-Levitt,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.","['new', 'jersey', 'guy', 'dedicate', 'family', 'friend', 'church', 'develop', 'unrealistic', 'expectation', 'watch', 'porn', 'work', 'find', 'happiness', 'intimacy', 'potential', 'true', 'love']",new jersey guy dedicate family friend church develop unrealistic expectation watch porn work find happiness intimacy potential true love
High Plains Drifter,['Western'],Clint Eastwood,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.","['gunfighting', 'stranger', 'come', 'small', 'settlement', 'lago', 'gun', 'three', 'gunman', 'try', 'kill', 'townsfolk', 'decide', 'hire', 'stranger', 'hold', 'three', 'outlaw', 'way']",gunfighting stranger come small settlement lago gun three gunman try kill townsfolk decide hire stranger hold three outlaw way
Ghost World,"['Comedy', 'Drama']",Terry Zwigoff,"A quirky girl tries to figure out what to do now that she had graduated from high school, and forms a friendship with an eccentric 40-year-old record collector after playing a prank on him with her best friend.","['quirky', 'girl', 'try', 'figure', 'graduate', 'high', 'school', 'form', 'friendship', 'eccentric', '40yearold', 'record', 'collector', 'play', 'prank', 'best', 'friend']",quirky girl try figure graduate high school form friendship eccentric 40yearold record collector play prank best friend
Iris,"['Drama', 'Romance']",Richard Eyre,"True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease.","['true', 'story', 'lifelong', 'romance', 'novelist', 'iris', 'murdoch', 'husband', 'john', 'bayley', 'student', 'day', 'battle', 'alzheimers', 'disease']",true story lifelong romance novelist iris murdoch husband john bayley student day battle alzheimers disease
Galaxina,"['Comedy', 'Science Fiction']",William Sachs,"Galaxina is a lifelike, voluptuous android who is assigned to oversee the operations of an intergalactic Space Police cruiser captained by incompetent Cornelius Butt. When a mission requires the ship's crew to be placed in suspended animation for decades, Galaxina finds herself alone for many years, developing emotions and falling in love with the ship's pilot, Thor.","['galaxina', 'lifelike', 'voluptuous', 'android', 'assign', 'oversee', 'operation', 'intergalactic', 'space', 'police', 'cruiser', 'captain', 'incompetent', 'cornelius', 'butt', 'mission', 'require', 'ship', 'crew', 'place', 'suspended', 'animation', 'decade', 'galaxina', 'find', 'alone', 'many', 'year', 'develop', 'emotion', 'fall', 'love', 'ship', 'pilot', 'thor']",galaxina lifelike voluptuous android assign oversee operation intergalactic space police cruiser captain incompetent cornelius butt mission require ship crew place suspended animation decade galaxina find alone many year develop emotion fall love ship pilot thor
The Chorus,['Drama'],Christophe Barratier,"Set in 1940's France, a new teacher at a school for disruptive boys gives hope and inspiration.","['set', '1940s', 'france', 'new', 'teacher', 'school', 'disruptive', 'boy', 'give', 'hope', 'inspiration']",set 1940s france new teacher school disruptive boy give hope inspiration
Mambo Italiano,"['Comedy', 'Romance']",Émile Gaudreault,"A sweet comic film about an Italian man who comes out of the closet and the affect it has on his life and his crazy family. A family movie about the stereotypes of homosexuals and Italians – called by critics ""the gay"" My Big Fat Greek Wedding.","['sweet', 'comic', 'film', 'italian', 'man', 'come', 'closet', 'affect', 'life', 'crazy', 'family', 'family', 'movie', 'stereotype', 'homosexual', 'italian', 'call', 'critic', 'gay', 'big', 'fat', 'greek', 'wedding']",sweet comic film italian man come closet affect life crazy family family movie stereotype homosexual italian call critic gay big fat greek wedding
Wonderland,"['Crime', 'Drama', 'Mystery']",James Cox,"On the afternoon of July 1, 1981, Los Angeles police responded to a distress call on Wonderland Avenue and discovered a grisly quadruple homicide. The police investigation that followed uncovered two versions of the events leading up to the brutal murders - both involving legendary porn actor John Holmes. You're about to experience both versions.","['afternoon', 'july', '1', '1981', 'los', 'angeles', 'police', 'respond', 'distress', 'call', 'wonderland', 'avenue', 'discover', 'grisly', 'quadruple', 'homicide', 'police', 'investigation', 'follow', 'uncovered', 'two', 'version', 'event', 'lead', 'brutal', 'murder', 'involve', 'legendary', 'porn', 'actor', 'john', 'holmes', 'youre', 'experience', 'version']",afternoon july 1981 los angeles police respond distress call wonderland avenue discover grisly quadruple homicide police investigation follow uncovered two version event lead brutal murder involve legendary porn actor john holmes youre experience version
Do the Right Thing,['Drama'],Spike Lee,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.","['hot', 'day', 'year', 'street', 'bedfordstuyvesant', 'section', 'brooklyn', 'everyones', 'hate', 'bigotry', 'smolder', 'build', 'explode', 'violence']",hot day year street bedfordstuyvesant section brooklyn everyones hate bigotry smolder build explode violence
